Start	End	Ontology	Ontology Term	Annotated Term
450	458	GO:0003675	obsolete	protein
1054	1059	GO:0005623	cell		cells
1150	1162	GO:0005561	obsolete	nucleic
1557	1561	GO:0005623	cell		cell
1562	1572	GO:0009058	biosynthetic	process
1635	1645	GO:0009058	biosynthetic	process
1844	1852	GO:0003675	obsolete	protein
2017	2025	GO:0003675	obsolete	protein
2283	2289	GO:0005623	cell		cells.
2525	2530	GO:0005623	cell		cells
2763	2770	GO:0003675	obsolete	protein
2958	2976	GO:0051087	chaperone	binding
3000	3009	GO:0003675	obsolete	protein
3110	3119	GO:0003675	obsolete	protein
3199	3207	GO:0003675	obsolete	protein
3694	3701	GO:0003675	obsolete	protein
3982	3986	GO:0005488	binding		bind
4051	4065	GO:0005884	actin		filament
4066	4075	GO:0009058	biosynthetic	process
4304	4334	GO:0045098	type		III
4643	4654	GO:0032502	developmental	process
4753	4759	GO:0005623	cell		cells,
4814	4824	GO:0051325	interphase	interphase
4825	4832	GO:0005634	nucleus		nuclei,
4860	4867	GO:0003675	obsolete	protein
4875	4882	GO:0005634	nucleus		nucleus
5218	5227	GO:0009058	biosynthetic	process
5280	5288	GO:0003675	obsolete	protein
5682	5689	GO:0003675	obsolete	protein
5712	5745	GO:0036438	maintenance	of
5810	5819	GO:0003675	obsolete	protein
144	150	GO:0005623	cell		cells.
285	294	GO:0009058	biosynthetic	process
652	660	GO:0003675	obsolete	protein
1190	1194	GO:0005623	cell		cell
1195	1204	GO:0009058	biosynthetic	process
1724	1730	GO:0007601	visual		perception
1800	1806	GO:0007601	visual		perception
2918	2928	GO:0016020	membrane	membranes,
3157	3170	GO:0005561	obsolete	nucleic
567	571	GO:0007568	aging		aged
838	846	GO:0005773	vacuole		vacuoles
2094	2102	GO:0005773	vacuole		vacuoles
2254	2261	GO:0042603	capsule		capsule
2485	2497	GO:0005561	obsolete	nucleic
2622	2628	GO:0005634	nucleus		nuclei
2728	2739	GO:0005634	nucleus		Cell nuclei
2843	2863	GO:0005615	extracellular	space
2872	2877	GO:0005623	cell		cells
3004	3016	GO:0005561	obsolete	nucleic
3119	3131	GO:0005561	obsolete	nucleic
3439	3447	GO:0005634	nucleus		nucleus,
3621	3628	GO:0005634	nucleus		nucleus
3725	3733	GO:0042603	capsule		capsule.
3858	3870	GO:0005561	obsolete	nucleic
3904	3911	GO:0005634	nucleus		nucleus
3969	3977	GO:0042603	capsule		capsule.
4238	4249	GO:0016020	membrane	(membrane),
4517	4523	GO:0005634	nucleus		nuclei
4772	4783	GO:0016020	membrane	(membrane),
5143	5151	GO:0005634	nucleus		nucleus.
5378	5384	GO:0005634	nucleus		nuclei
6401	6411	GO:0016020	membrane	membranes,
6457	6462	GO:0005623	cell		cells
6571	6580	GO:0016020	membrane	membranes
6626	6638	GO:0005561	obsolete	nucleic
6720	6725	GO:0005623	cell	cells
6776	6784	GO:0016020	membrane	membrane
6846	6855	GO:0005773	vacuole	vacuoles,
6974	6983	GO:0016020	membrane	membranes
7045	7057	GO:0005561	obsolete	nucleic
7120	7125	GO:0005623	cell		cells
67	72	GO:0005623	cell		cells
453	459	GO:0005634	nucleus		nuclei
565	570	GO:0005623	cell		cells
600	607	GO:0042603	capsule		capsule
828	833	GO:0005623	cell		cells
861	869	GO:0005634	nucleus		nucleus.
