Start	End	Ontology	OntologyTerm	Annotated Term
230	243	GO:0043473	pigmentation	pigmentation,
565	577	GO:0043473	pigmentation	pigmentation
1315	1327	GO:0043473	pigmentation	pigmentation
1470	1482	GO:0043473	pigmentation	pigmentation
1547	1551	GO:0005623	cell		cell
1849	1861	GO:0032502	developmental	process
2332	2350	GO:0007165	signal		transduction
3609	3622	GO:0043473	pigmentation	pigmentation.
3841	3858	GO:0038001	paracrine	signaling
3956	3966	GO:0042633	hair		cycle
4043	4059	GO:0048770	pigment		granule
4179	4183	GO:0005623	cell		cell
4360	4370	GO:0042470	melanosome	melanosome
5110	5117	GO:0003675	obsolete	protein
5243	5250	GO:0003675	obsolete	protein
5353	5363	GO:0042633	hair		cycle
194	209	GO:0006351	transcription,	DNA-templated
357	369	GO:0042640	anagen		hair growth,
458	470	GO:0042640	anagen		hair growth,
985	1013	GO:0050931	pigment		cell
1042	1052	GO:0065007	biological	regulation
1824	1835	GO:0032502	developmental	process
2542	2552	GO:0009058	biosynthetic	process
3871	3883	GO:0043473	pigmentation	pigmentation
4944	4956	GO:0043473	pigmentation	pigmentation
5505	5517	GO:0042633	hair		cycle
6434	6446	GO:0043473	pigmentation	pigmentation
6808	6828	GO:0004097	catechol	oxidase
6808	6828	GO:0004503	monophenol	monooxygenase
7147	7166	GO:0004097	catechol	oxidase
7147	7166	GO:0004503	monophenol	monooxygenase
7422	7433	GO:0042633	hair	cycle
103	112	GO:0009058	biosynthetic	process
366	376	GO:0005694	chromosome	Chromosome
2830	2842	GO:0043473	pigmentation	pigmentation
3565	3591	GO:0030318	melanocyte	differentiation
3596	3614	GO:0046148	pigment		biosynthetic
3992	4008	GO:0043588	skin		development
4178	4205	GO:0030318	melanocyte	differentiation
4231	4241	GO:0009058	biosynthetic	process
4286	4297	GO:0042640	anagen		hair growth
4690	4700	GO:0005694	chromosome	Chromosome
4714	4720	GO:0004314	[acyl-carrier-protein]	S-malonyltransferase
4974	4985	GO:0032502	developmental	process
952	962	GO:0005694	chromosome	chromosome
2071	2083	GO:0043473	pigmentation	pigmentation
2775	2781	GO:0043198	dendritic	shaft
3179	3190	GO:0032502	developmental	process
3213	3217	GO:0031672	A		band
3772	3777	GO:0005623	cell		cells
3871	3883	GO:0042640	anagen		hair growth,
4827	4832	GO:0005623	cell		cells
4862	4884	GO:0043473	PHENOTYPE	pigmentation	phenotype
5243	5255	GO:0043473	pigmentation	Pigmentation
5499	5508	GO:0009058	biosynthetic	process
6537	6552	GO:0010467	gene		expression
834	846	GO:0043473	pigmentation	pigmentation
1027	1044	GO:0043588	skin		development
1390	1394	GO:0005623	cell		cell
2023	2035	GO:0043473	pigmentation	pigmentation
2147	2159	GO:0043473	pigmentation	pigmentation
2570	2576	GO:0043198	dendritic	shaft
2668	2672	GO:0031672	A	band
3119	3131	GO:0043473	pigmentation	pigmentation
3263	3275	GO:0043473	pigmentation	pigmentation
3468	3480	GO:0043473	pigmentation	pigmentation
4045	4057	GO:0043473	pigmentation	pigmentation
4274	4300	GO:0001942	hair	follicle
4383	4395	GO:0043473	pigmentation	pigmentation
4558	4563	GO:0043198	dendritic	shaft
5565	5582	GO:0060173	limb	development
5694	5705	GO:0032502	developmental	process
384	399	GO:0010467	gene	expression
404	408	GO:0005623	cell	cell
2830	2841	GO:0032502	developmental	process
2962	2967	GO:0043198	dendritic	shaft
3196	3202	GO:0043198	dendritic	shaft
3911	3921	GO:0005694	chromosome	Chromosome
4043	4053	GO:0005694	chromosome	Chromosome
4866	4886	GO:0001501	skeletal	system
300	304	GO:0005623	cell	cell
762	767	GO:0005623	cell	cells
844	850	GO:0005623	cell	cells.
851	855	GO:0005623	cell	Cell
1311	1324	GO:0006351	transcription,	DNA-templated
2017	2028	GO:0032502	developmental	process
2537	2546	GO:0009058	biosynthetic	process
2989	3001	GO:0043473	pigmentation	pigmentation
3088	3097	GO:0009058	biosynthetic	process
3361	3366	GO:0043198	dendritic	shaft
3800	3804	GO:0005623	cell	cell
4302	4309	GO:0031430	M	band
4742	4747	GO:0043198	dendritic	shaft
5080	5085	GO:0043198	dendritic	shaft
5202	5208	GO:0023052	signaling	signal
5375	5380	GO:0005623	cell	cells
5445	5457	GO:0032502	developmental	process
5462	5474	GO:0042640	anagen	hair growth.
5610	5622	GO:0043473	pigmentation	pigmentation
5755	5760	GO:0043198	dendritic	shaft
6308	6314	GO:0043198	dendritic	shaft
6480	6492	GO:0043473	pigmentation	pigmentation
