 Start	End	Ontology	Ontolgy Term	Annotated Term
1269	1277	GO:0003675	obsolete	protein
1462	1476	GO:0009566	fertilization	fertilization,
1477	1487	GO:0007519	skeletal	muscle
1477	1487	GO:0048740	obsolete	striated
1492	1504	GO:0022008	neurogenesis	neurogenesis
1508	1519	GO:0006508	proteolysis	proteolysis
1608	1621	GO:0005576	extracellular	region
1869	1901	GO:0005154	epidermal	growth
1976	1989	GO:0009793	embryo		development
1976	1989	GO:0009792	embryo		development
1976	1989	GO:0009790	embryo		development
2097	2117	GO:0007160	cell-matrix	adhesion
2162	2172	GO:0015023	obsolete	syndecan
2237	2250	GO:0007155	cell		adhesion
2908	2915	GO:0003675	obsolete	protein
2936	2948	GO:0009986	cell		surface
3147	3152	GO:0016265	death		death
3376	3389	GO:0005576	extracellular	region
3443	3459	GO:0005178	integrin	binding
4137	4144	GO:0003675	obsolete	protein
4400	4407	GO:0003675	obsolete	protein
4450	4457	GO:0003675	obsolete	protein
4538	4547	GO:0003823	antigen		binding
4538	4547	GO:0019815	B		cell
4538	4547	GO:0042571	immunoglobulin	complex,
4602	4609	GO:0003675	obsolete	protein
5536	5550	GO:0009793	embryo		development
5536	5550	GO:0009792	embryo		development
5536	5550	GO:0009790	embryo		development
709	715	GO:0023052	signaling	signal
822	828	GO:0023052	signaling	signal
1540	1554	GO:0016477	cell		migration
2032	2049	GO:0032288	myelin		assembly
2407	2413	GO:0030424	axon		axons,
2616	2627	GO:0042552	myelination	myelination
2657	2662	GO:0030424	axon		axons
2777	2783	GO:0005634	nucleus		nuclei
2913	2919	GO:0023052	signaling	signal
5937	5951	GO:0042552	myelination	myelinogenesis
6277	6282	GO:0016265	death		death
6607	6624	GO:0007420	brain		development
6714	6720	GO:0016538	cyclin-dependent	protein
6759	6777	GO:0001764	neuron		migration
6806	6813	GO:0003675	obsolete	protein
6834	6846	GO:0009986	cell		surface
6983	7002	GO:0001764	neuron		migration
7182	7201	GO:0001764	neuron		migration
7383	7392	GO:0007585	respiratory	gaseous
7430	7441	GO:0007585	respiratory	gaseous
7430	7441	GO:0045333	cellular	respiration
215	220	GO:0016265	death		death
312	323	GO:0007585	respiratory	gaseous
312	323	GO:0045333	cellular	respiration
392	397	GO:0016265	death		death
618	634	GO:0032288	myelin		assembly
1056	1072	GO:0032288	myelin		assembly
1121	1150	GO:0014037	Schwann		cell
1476	1492	GO:0032288	myelin		assembly
1552	1569	GO:0032288	myelin	assembly
1742	1758	GO:0032288	myelin	assembly
1950	1955	GO:0030424	axon	axons
1978	1994	GO:0032288	myelin	assembly
2119	2124	GO:0030424	axon	axons
2220	2227	GO:0023052	signaling	signals
2263	2280	GO:0032288	myelin	assembly
2795	2813	GO:0003674	molecular_function	molecular function
3671	3676	GO:0005623	cell	cells
4293	4298	GO:0007618	mating	mated
4293	4298	GO:1990277	parasexual	conjugation
4293	4298	GO:0000747	conjugation	with
4293	4298	GO:0009291	unidirectional	conjugation
4743	4762	GO:0002377	immunoglobulin	production
4800	4807	GO:0003675	obsolete	protein
4963	4970	GO:0003675	obsolete	protein
5074	5081	GO:0003675	obsolete	protein
5266	5273	GO:0003675	obsolete	protein
5313	5320	GO:0003675	obsolete	protein
5372	5377	GO:0005488	binding	bound
5378	5388	GO:0003823	antigen	binding
5378	5388	GO:0019815	B	cell
5378	5388	GO:0042571	immunoglobulin	complex,
5417	5422	GO:0005488	binding	bound
5423	5433	GO:0003823	antigen	binding
5423	5433	GO:0019815	B	cell
5423	5433	GO:0042571	immunoglobulin	complex,
5532	5541	GO:0003823	antigen	binding
5532	5541	GO:0019815	B	cell
5532	5541	GO:0042571	immunoglobulin	complex,
5570	5578	GO:0003675	obsolete	protein
5646	5654	GO:0003823	antigen	binding
5646	5654	GO:0019815	B	cell
5646	5654	GO:0042571	immunoglobulin	complex,
5767	5774	GO:0003675	obsolete	protein
5958	5962	GO:0005623	cell	cell
5963	5968	GO:0019835	cytolysis	lysis
6092	6096	GO:0005623	cell	cell
44	52	GO:0003823	antigen	binding
44	52	GO:0019815	B	cell
44	52	GO:0042571	immunoglobulin	complex,
108	113	GO:0005488	binding	Bound
114	124	GO:0003823	antigen	binding
114	124	GO:0019815	B	cell
114	124	GO:0042571	immunoglobulin	complex,
185	193	GO:0003823	antigen	binding
185	193	GO:0019815	B	cell
185	193	GO:0042571	immunoglobulin	complex,
1013	1018	GO:0005623	cell	cells
1817	1830	GO:0044214	spanning	component
1817	1830	GO:0016021	integral	component
3046	3056	GO:0003823	antigen	binding
3046	3056	GO:0019815	B	cell
3046	3056	GO:0042571	immunoglobulin	complex,
3322	3328	GO:0005634	nucleus	Nuclei
3523	3534	GO:0003823	antigen	binding
3523	3534	GO:0019815	B	cell
3523	3534	GO:0042571	immunoglobulin	complex,
256	276	GO:0002377	immunoglobulin	production
1672	1679	GO:0003675	obsolete	protein
1781	1790	GO:0003823	antigen	binding
1781	1790	GO:0019815	B	cell
1781	1790	GO:0042571	immunoglobulin	complex,
2339	2346	GO:0023052	signaling	signals
2421	2428	GO:0023052	signaling	signals
2985	2993	GO:0003823	antigen	binding
2985	2993	GO:0019815	B	cell
2985	2993	GO:0042571	immunoglobulin	complex,
3956	3961	GO:0030424	axon	axons
