Start	End	Ontology	Ontolgy Term	Annotated Term
398	406	GO:0005202	obsolete	collagen
636	651	GO:0010467	gene		expression
3435	3442	GO:0003675	obsolete	protein
3650	3665	GO:0010467	gene		expression
3783	3798	GO:0010467	gene		expression
3874	3886	GO:0032502	developmental	process
4888	4903	GO:0010467	gene		expression
5006	5016	GO:0065007	biological	regulation
5463	5478	GO:0010467	gene		expression
6460	6468	GO:0005202	obsolete	collagen
6692	6703	GO:0032502	developmental	process
68	84	GO:0010467	gene		expression
1726	1741	GO:0010467	gene		expression
2087	2094	GO:0023052	signaling	signals
2298	2313	GO:0010467	gene		expression
2957	2972	GO:0010467	gene		expression
4331	4342	GO:0032502	developmental	process
4819	4830	GO:0005694	chromosome	chromosomes
5669	5679	GO:0005694	chromosome	chromosome
6078	6088	GO:0005694	chromosome	chromosome
6144	6154	GO:0005694	chromosome	chromosome
6215	6225	GO:0005694	chromosome	chromosome
6279	6289	GO:0005694	chromosome	chromosome
6339	6349	GO:0005694	chromosome	chromosome
6451	6466	GO:0010467	gene		expression
352	367	GO:0010467	gene		expression
2302	2317	GO:0010467	gene		expression
2488	2503	GO:0010467	gene		expression
2769	2785	GO:0006955	immune		response
2944	2960	GO:0006955	immune		response
2961	2979	GO:0031090	organelle	membrane
2984	3004	GO:0005576	extracellular	region
3121	3144	GO:0005911	cell-cell	junction
3316	3341	GO:0046651	lymphocyte	proliferation
3349	3376	GO:0032092	positive	regulation
3392	3413	GO:0007219	Notch		signaling
4114	4126	GO:0005694	chromosome	chromosomes,
5403	5425	GO:0035556	intracellular	signal
847	861	GO:0071736	IgG		immunoglobulin
872	880	GO:0005202	obsolete	collagen
1033	1047	GO:0071736	IgG		immunoglobulin
1058	1066	GO:0005202	obsolete	collagen
1087	1097	GO:0005694	chromosome	chromosome
1135	1160	GO:0046651	lymphocyte	proliferation
1219	1229	GO:0005694	chromosome	chromosome
1270	1281	GO:0032502	developmental	process
1462	1477	GO:0010467	gene		expression
1592	1607	GO:0010467	gene		expression
1660	1675	GO:0010467	gene		expression
2483	2507	GO:0046651	lymphocyte	proliferation
2804	2819	GO:0006955	immune		response
2942	2950	GO:0003823	antigen		binding
2942	2950	GO:0019815	B		cell
2942	2950	GO:0042571	immunoglobulin	complex,
2963	2971	GO:0005202	obsolete	collagen
3247	3262	GO:0010467	gene		expression
3488	3504	GO:0010467	gene		expression
3668	3674	GO:0004707	MAP		kinase
4006	4017	GO:0032502	developmental	process
4898	4913	GO:0010467	gene		expression
6223	6227	GO:0004707	MAP		kinase
6589	6604	GO:0010467	gene		expression
103	108	GO:0005488	binding		bound
598	603	GO:0005488	binding		bound
1356	1371	GO:0010467	gene		expression
2387	2402	GO:0010467	gene		expression
2567	2571	GO:0005623	cell		cell
2659	2672	GO:0006351	transcription,	DNA-templated
2894	2909	GO:0010467	gene		expression
3274	3289	GO:0010467	gene		expression
3506	3521	GO:0010467	gene		expression
4197	4208	GO:0005694	chromosome	chromosome;
