Start	 End 	 Ontology	   Term				 ArtclTerm
679      688     GO:0003675        obsolete protein              "proteins,"
794      804     GO:0046903        secretion                     "secretion."
1641     1650    GO:0046903        secretion                     "secretion"
1764     1773    GO:0046903        secretion                     "secretion"
1860     1869    GO:0046903        secretion                     "secretion"
1912     1921    GO:0046903        secretion                     "secretion"
2086     2095    GO:0046903        secretion                     "secretion"
2195     2218    GO:0042632        cholesterol homeostasis       "cholesterol homeostasis"
2296     2305    GO:0008152        metabolic process             "metabolic"
2296     2305    GO:0007552        metamorphosis                 "metabolic"
3198     3208    GO:0030849        autosome                      "autosomal,"
4054     4063    GO:0007588        excretion                     "excretion"
4138     4147    GO:0046903        secretion                     "secretion"
4345     4353    GO:0016020        membrane                      "membrane"
4420     4427    GO:0004239        obsolete methionyl aminopeptidase activity    "mapping"
4455     4465    GO:0005694        chromosome                    "chromosome"
4690     4698    GO:0003675        obsolete protein              "proteins"
5220     5228    GO:0003675        obsolete protein              "proteins"
5269     5282    GO:0044214        spanning component of plasma membrane         "transmembrane"
5269     5282    GO:0016021        integral component of membrane        "transmembrane"
5317     5330    GO:0044214        spanning component of plasma membrane         "transmembrane"
5317     5330    GO:0016021        integral component of membrane        "transmembrane"
5360     5377    GO:0042626        ATPase activity, coupled to transmembrane movement of substances      "ABC transporters."
5410     5418    GO:0003675        obsolete protein              "proteins"
5861     5865    GO:0005623        cell                          "cell"
6107     6111    GO:0004235        obsolete matrilysin activity          "pump"
6135     6156    GO:0051641        cellular localization         "cellular localization"
6170     6178    GO:0003675        obsolete protein              "proteins"
319      328     GO:0046903        secretion                     "secretion"
343      364     GO:0050892        intestinal absorption         "intestinal absorption"
733      742     GO:0046903        secretion                     "secretion"
773      783     GO:0046903        secretion                     "secretion,"
866      875     GO:0046903        secretion                     "secretion"
1040     1044    GO:0005623        cell                          "cell"
1969     1974    GO:0005623        cell                          "cells"
2125     2129    GO:0005623        cell                          "cell"
2256     2261    GO:0005623        cell                          "cells"
2546     2550    GO:0005623        cell                          "cell"
2604     2608    GO:0005623        cell                          "cell"
2750     2755    GO:0005623        cell                          "cells"
3853     3858    GO:0019835        cytolysis                     "lysis"
3931     3941    GO:0004196        obsolete saccharopepsin activity      "Proteinase"
3931     3941    GO:0004175        endopeptidase activity        "Proteinase"
596      605     GO:0016020        membrane                      "membrane."
1116     1137    GO:0001171        reverse transcription         "Reverse Transcription"
1188     1196    GO:0045292        mRNA cis splicing, via spliceosome    "splicing"
1415     1424    GO:0009058        biosynthetic process          "Synthesis"
2223     2232    GO:0009058        biosynthetic process          "Synthesis"
2668     2689    GO:0001171        reverse transcription         "reverse transcription"
3443     3454    GO:0004600        obsolete cyclophilin          "cyclophilin"
3443     3454    GO:0016018        cyclosporin A binding         "cyclophilin"
3762     3774    GO:0004600        obsolete cyclophilin          "cyclophilin."
3762     3774    GO:0016018        cyclosporin A binding         "cyclophilin."
4150     4154    GO:0033867        Fas-activated serine/threonine kinase activity        "fast"
4155     4162    GO:0003675        obsolete protein              "protein"
4205     4213    GO:0033867        Fas-activated serine/threonine kinase activity        "fasting,"
4590     4594    GO:0033867        Fas-activated serine/threonine kinase activity        "fast"
4595     4602    GO:0003675        obsolete protein              "protein"
4807     4811    GO:0033867        Fas-activated serine/threonine kinase activity        "fast"
605      624     GO:0002377        immunoglobulin production     "antibody production"
673      683     GO:0003823        antigen binding               "antibodies"
673      683     GO:0019815        B cell receptor complex       "antibodies"
673      683     GO:0042571        immunoglobulin complex, circulating   "antibodies"
775      785     GO:0003823        antigen binding               "antibodies"
775      785     GO:0019815        B cell receptor complex       "antibodies"
775      785     GO:0042571        immunoglobulin complex, circulating   "antibodies"
955      964     GO:0016020        membrane                      "membranes"
1076     1081    GO:0019835        cytolysis                     "lysis"
1688     1693    GO:0019835        cytolysis                     "lysis"
1702     1718    GO:0005886        plasma membrane               "Plasma membranes"
1763     1770    GO:0003675        obsolete protein              "Protein"
1825     1832    GO:0003675        obsolete protein              "protein"
1997     2005    GO:0003675        obsolete protein              "Proteins"
2062     2072    GO:0016020        membrane                      "membranes."
2073     2082    GO:0016020        membrane                      "Membranes"
2221     2229    GO:0003823        antigen binding               "antibody"
2221     2229    GO:0019815        B cell receptor complex       "antibody"
2221     2229    GO:0042571        immunoglobulin complex, circulating   "antibody"
3124     3132    GO:0003823        antigen binding               "antibody"
3124     3132    GO:0019815        B cell receptor complex       "antibody"
3124     3132    GO:0042571        immunoglobulin complex, circulating   "antibody"
3195     3200    GO:0004617        phosphoglycerate dehydrogenase activity       "serum"
3268     3276    GO:0003823        antigen binding               "antibody"
3268     3276    GO:0019815        B cell receptor complex       "antibody"
3268     3276    GO:0042571        immunoglobulin complex, circulating   "antibody"
3376     3384    GO:0003823        antigen binding               "antibody"
3376     3384    GO:0019815        B cell receptor complex       "antibody"
3376     3384    GO:0042571        immunoglobulin complex, circulating   "antibody"
3721     3726    GO:0004617        phosphoglycerate dehydrogenase activity       "serum"
3941     3949    GO:0003823        antigen binding               "antibody"
3941     3949    GO:0019815        B cell receptor complex       "antibody"
3941     3949    GO:0042571        immunoglobulin complex, circulating   "antibody"
4493     4498    GO:0005623        cell                          "cells"
4505     4510    GO:0005623        cell                          "cells"
4689     4694    GO:0005623        cell                          "cells"
5090     5095    GO:0005623        cell                          "cells"
