Start	 End 	 Ontology	   Term				 ArtclTerm'
56       67      GO:0032502        developmental process         "Development"
100      116     GO:0008181        obsolete tumor suppressor     "tumor suppressor"
100      116     GO:0051726        regulation of cell cycle      "tumor suppressor"
174      195     GO:0016055        Wnt signaling pathway         "Wnt signaling pathway"
216      227     GO:0032502        developmental process         "development"
400      411     GO:0032502        developmental process         "development"
458      463     GO:0007618        mating                        "mated"
458      463     GO:1990277        parasexual conjugation with cellular fusion   "mated"
458      463     GO:0000747        conjugation with cellular fusion      "mated"
458      463     GO:0009291        unidirectional conjugation    "mated"
879      885     GO:0040007        growth                        "growth"
1022     1032    GO:0036074        metaplastic ossification      "metaplasia"
1120     1126    GO:0040007        growth                        "growth"
1383     1395    GO:0032502        developmental process         "development."
1607     1623    GO:0008181        obsolete tumor suppressor     "tumor suppressor"
1607     1623    GO:0051726        regulation of cell cycle      "tumor suppressor"
1991     2016    GO:0048513        organ development             "development and in organs"
2156     2161    GO:0007618        mating                        "mated"
2156     2161    GO:1990277        parasexual conjugation with cellular fusion   "mated"
2156     2161    GO:0000747        conjugation with cellular fusion      "mated"
2156     2161    GO:0009291        unidirectional conjugation    "mated"
2600     2611    GO:0032502        developmental process         "development"
2781     2802    GO:0016055        Wnt signaling pathway         "Wnt signaling pathway"
2899     2909    GO:0065007        biological regulation         "regulation"
2999     3008    GO:0005829        cytosol                       "cytosolic"
3067     3074    GO:0005634        nucleus                       "nucleus"
3190     3199    GO:0003675        obsolete protein              "proteins,"
3261     3268    GO:0003777        microtubule motor activity    "kinesin"
3326     3339    GO:0005874        microtubule                   "microtubules,"
3543     3553    GO:0065007        biological regulation         "regulation"
3577     3605    GO:0051726        regulation of cell cycle      "regulation of the cell cycle"
3610     3620    GO:0097194        execution phase of apoptosis          "apoptosis,"
3610     3620    GO:0006915        apoptotic process             "apoptosis,"
3636     3666    GO:0098722        asymmetric stem cell division         "asymmetric stem cell division,"
3682     3699    GO:0030010        establishment of cell polarity        "cell polarization"
3716     3732    GO:0008181        obsolete tumor suppressor     "tumor suppressor"
3716     3732    GO:0051726        regulation of cell cycle      "tumor suppressor"
4624     4647    GO:0032502        developmental process         "developmental processes"
4697     4707    GO:0065007        biological regulation         "regulation"
4715     4724    GO:0023052        signaling                     "signaling"
4728     4755    GO:0009880        embryonic pattern specification       "embryonic pattern formation"
4760     4773    GO:0009653        anatomical structure morphogenesis    "morphogenesis"
4826     4837    GO:0032502        developmental process         "development"
4982     4993    GO:0032502        developmental process         "development"
5323     5337    GO:0009793        embryo development ending in seed dormancy    "embryogenesis,"
5323     5337    GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis,"
5323     5337    GO:0009790        embryo development            "embryogenesis,"
5383     5395    GO:0007369        gastrulation                  "gastrulation"
5459     5470    GO:0032502        developmental process         "development"
5577     5581    GO:0007618        mating                        "mate"
5577     5581    GO:1990277        parasexual conjugation with cellular fusion   "mate"
5577     5581    GO:0000747        conjugation with cellular fusion      "mate"
5577     5581    GO:0009291        unidirectional conjugation    "mate"
5677     5681    GO:0005623        cell                          "cell"
5867     5872    GO:0007618        mating                        "mated"
5867     5872    GO:1990277        parasexual conjugation with cellular fusion   "mated"
5867     5872    GO:0000747        conjugation with cellular fusion      "mated"
5867     5872    GO:0009291        unidirectional conjugation    "mated"
6119     6130    GO:0032502        developmental process         "development"
6353     6357    GO:0005623        cell                          "cell"
6385     6397    GO:0032502        developmental process         "development,"
6440     6450    GO:0065007        biological regulation         "regulation"
84       95      GO:0032502        developmental process         "development"
252      257     GO:0005623        cell                          "cells"
566      581     GO:0006351        transcription, DNA-templated          "transcriptional"
1628     1636    GO:0003675        obsolete protein              "protein."
2349     2354    GO:0016265        death                         "death"
2437     2449    GO:0032502        developmental process         "development."
2515     2528    GO:0006351        transcription, DNA-templated          "transcription"
